
> backend@1.0.0 dev
> ts-node --transpile-only src/index.ts

[2026-03-06T23:40:27.626Z] OPTIONS /api/entries/229?periodo=2026
[2026-03-06T23:40:27.626Z] GET /api/entries/99?periodo=2026
[2026-03-06T23:40:27.626Z] OPTIONS /api/entries/230?periodo=2026
[2026-03-06T23:40:27.626Z] GET /api/entries/100?periodo=2026
[2026-03-06T23:40:27.627Z] OPTIONS /api/entries/233?periodo=2026
[2026-03-06T23:40:27.627Z] GET /api/entries/101?periodo=2026
[2026-03-06T23:40:27.628Z] OPTIONS /api/entries/234?periodo=2026
[2026-03-06T23:40:27.628Z] OPTIONS /api/entries/235?periodo=2026
[2026-03-06T23:40:27.628Z] OPTIONS /api/entries/236?periodo=2026
[2026-03-06T23:40:27.629Z] OPTIONS /api/entries/237?periodo=2026
[2026-03-06T23:40:27.629Z] OPTIONS /api/entries/238?periodo=2026
[2026-03-06T23:40:27.629Z] OPTIONS /api/entries/239?periodo=2026
[2026-03-06T23:40:27.629Z] OPTIONS /api/entries/242?periodo=2026
[2026-03-06T23:40:27.629Z] OPTIONS /api/entries/240?periodo=2026
[2026-03-06T23:40:27.629Z] OPTIONS /api/entries/243?periodo=2026
[2026-03-06T23:40:27.630Z] OPTIONS /api/entries/244?periodo=2026
[2026-03-06T23:40:27.630Z] OPTIONS /api/entries/247?periodo=2026
